cpt_code_range,ccs_numerical_label
58980-58980,130
58986-58986,130
58990-58990,130
G0101-G0101,130
G0123-G0123,130
0071T-0072T,131
56720-56720,131
57020-57020,131
57061-57061,131
57150-57150,131
57156-57180,131
57400-57400,131
57800-57800,131
58300-58323,131
59871-59871,131
S2270-S2270,131
0120T-0120T,132
0336T-0336T,132
19105-19105,132
46744-46748,132
55980-56000,132
56200-56200,132
56306-56306,132
56309-56309,132
56353-56356,132
56400-56515,132
56620-56700,132
56740-56810,132
57010-57010,132
57023-57023,132
57065-57065,132
57106-57112,132
57130-57135,132
57155-57155,132
57200-57210,132
57280-57283,132
57291-57305,132
57308-57308,132
57335-57335,132
57425-57426,132
57451-57451,132
57505-57505,132
57700-57720,132
58346-58346,132
58400-58540,132
58660-58660,132
58662-58662,132
58673-58673,132
58823-58823,132
58957-58958,132
58974-58976,132
58987-58987,132
58992-58992,132
58999-58999,132
59100-59100,132
59870-59870,132
C9736-C9736,132
S2250-S2250,132
59510-59515,134
59618-59622,134
59400-59410,135
59610-59614,135
00955-00955,137
59412-59414,137
59899-59899,137
59000-59000,138
Q0114-Q0114,138
0021T-0021T,139
59012-59051,139
59300-59300,140
59350-59350,140
36460-36460,141
57022-57022,141
59001-59001,141
59070-59076,141
59200-59200,141
59320-59325,141
59866-59866,141
59897-59898,141
S2400-S2400,141
S2401-S2401,141
S2402-S2402,141
S2403-S2403,141
S2404-S2404,141
S2405-S2405,141
S2409-S2409,141
S2411-S2411,141
S4005-S4005,141
S4981-S4981,141
15920-15922,142
15933-15933,142
15935-15935,142
15937-15937,142
15941-15941,142
15945-15946,142
15951-15951,142
15953-15953,142
15958-15958,142
19260-19272,142
20150-20150,142
21025-21050,142
21070-21070,142
21209-21209,142
21295-21296,142
21502-21502,142
21600-21633,142
21705-21705,142
22100-22116,142
22145-22148,142
22206-22230,142
22818-22820,142
23120-23156,142
23180-23222,142
24110-24130,142
24140-24153,142
24356-24356,142
25119-25136,142
25150-25240,142
26200-26262,142
27065-27079,142
27122-27122,142
27350-27360,142
27365-27365,142
27418-27418,142
27635-27647,142
28100-28100,142
28104-28104,142
28108-28114,142
28118-28175,142
28288-28288,142
29824-29824,142
31225-31230,142
32900-32900,142
61597-61597,142
69970-69970,142
28285-28286,143
28289-28299,143
28313-28313,143
28340-28341,143
28345-28345,143
28755-28760,143
21300-21495,144
30930-30930,144
24164-24164,145
24583-24685,145
25400-25420,145
25500-25620,145
25650-25665,145
25671-25676,145
29847-29847,145
27175-27187,146
27195-27195,146
27210-27210,146
27220-27225,146
27230-27269,146
27472-27472,146
27495-27495,146
27500-27519,146
27520-27566,147
27720-27726,147
27750-27848,147
28320-28322,147
28400-28675,147
29850-29856,147
0200T-0201T,148
0245T-0248T,148
21800-21825,148
22305-22328,148
22510-22515,148
22523-22525,148
23500-23680,148
24160-24160,148
24430-24430,148
24498-24582,148
25431-25440,148
25622-25645,148
25670-25670,148
25680-25695,148
26600-26785,148
27190-27194,148
27196-27202,148
27212-27218,148
27226-27228,148
27860-27860,148
62000-62010,148
C9718-C9718,148
C9719-C9719,148
G0412-G0412,148
G0413-G0413,148
G0414-G0414,148
G0415-G0415,148
S2362-S2362,148
S2363-S2363,148
29800-29805,149
29815-29819,149
29830-29834,149
29840-29843,149
29860-29860,149
29870-29871,149
29888-29889,149
29900-29900,149
29999-29999,149
G0289-G0289,149
S2114-S2114,149
S2300-S2300,149
23415-23415,150
24006-24006,150
24102-24102,150
25085-25085,150
26520-26525,150
27036-27036,150
27425-27425,150
27435-27435,150
27612-27612,150
28260-28272,150
29825-29825,150
29873-29873,150
29884-29884,150
27332-27333,151
27347-27347,151
27403-27409,151
29880-29883,151
27420-27424,152
27427-27429,152
27437-27447,152
27486-27487,152
G0428-G0428,152
S9085-S9085,152
27125-27138,153
29914-29916,153
S2118-S2118,153
